Name Lbol Tbol dist Fbrg eFbrg Fbra eFbra Av eAv Abrg eAbrg Abra eAbra Lacc eLacc
j163135.6 0.14612802863121033 356.0 139.39999389648438 1.1531109809875488 0.29841846227645874 13.217368125915527 2.8084681034088135 53.65033721923828 7.745619297027588 7.391888618469238 1.067183494567871 5.174322128295898 0.7470284104347229 1.901789903640747 0.41810521483421326
j162730.1 0.08990511298179626 515.0 139.39999389648438 0.6104521751403809 0.2897987365722656 9.997303009033203 8.922992706298828 61.5989990234375 22.61748504638672 8.48704719543457 3.116213798522949 5.940932750701904 2.181349754333496 2.149587631225586 1.2764768600463867
j163200.9 0.6532124876976013 121.0 139.39999389648438 0.3569337725639343 0.2746548056602478 9.310090065002441 3.6633670330047607 71.9676742553711 19.366012573242188 9.915632247924805 2.668229579925537 6.940942287445068 1.8677606582641602 2.6429929733276367 1.0246098041534424
j162727.9 1.0211893320083618 158.0 139.39999389648438 1.8299376964569092 0.6864280700683594 16.134552001953125 3.624039888381958 47.80501937866211 9.960860252380371 6.586526393890381 1.3723970651626587 4.610568523406982 0.9606779217720032 1.7161369323730469 0.5300336480140686
j162726.9 0.471291720867157 232.0 139.39999389648438 1.086125373840332 0.5019563436508179 15.118311882019043 2.1807093620300293 57.97711181640625 10.985197067260742 7.988027095794678 1.5135293006896973 5.59161901473999 1.0594704151153564 2.2029812335968018 0.572721004486084
j162721.7 0.03342375531792641 409.0 139.39999389648438 1.149960994720459 0.8522207736968994 11.004633903503418 3.5527539253234863 49.629703521728516 18.128442764282227 6.837929725646973 2.497718095779419 4.786550998687744 1.748402714729309 1.5880236625671387 0.9535879492759705
j162709.4 1.2966651916503906 423.0 139.39999389648438 20.547019958496094 1.940816879272461 203.33102416992188 81.37377166748047 50.37668991088867 9.394880294799805 6.9408488273620605 1.2944170236587524 4.858593940734863 0.9060919284820557 3.3203136920928955 0.5373992919921875
j162702.3 0.6532124876976013 385.0 139.39999389648438 16.819049835205078 1.6785452365875244 135.31871032714844 14.74761962890625 45.765281677246094 3.89705228805542 6.3054938316345215 0.5369318723678589 4.413845539093018 0.3758523166179657 2.8459980487823486 0.2107205092906952
j162621.3 1.0211893320083618 242.0 139.39999389648438 5.0583672523498535 1.505160927772522 23.06097412109375 12.10841178894043 33.11117172241211 13.60556697845459 4.562023162841797 1.874561071395874 3.193416118621826 1.3121927976608276 1.165732502937317 0.7650976181030273
cfht-19 -0.38721615076065063 406.0 130.5 1.0628149509429932 0.16147641837596893 5.627148628234863 0.16147641837596893 36.443519592285156 6.791738510131836 5.021151065826416 0.9357587695121765 3.514805793762207 0.655031144618988 0.44180113077163696 0.3785571753978729
l1489irs 0.6117233037948608 198.0 146.0 1.8104052543640137 2.5506174564361572 9.279815673828125 6.202486038208008 35.7219352722168 34.80140686035156 4.921731472015381 4.794902324676514 3.4452121257781982 3.356431722640991 0.8254570960998535 1.8363758325576782
ssttau_041426.2_n 0.19033169746398926 453.0 130.5 13.498005867004395 1.8785009384155273 28.068201065063477 5.0639519691467285 15.62329387664795 5.487750053405762 2.1525614261627197 0.7560965418815613 1.5067930221557617 0.5292676091194153 0.301280677318573 0.3018020689487457
ssttau_041426.2_s 0.1760912537574768 442.0 130.5 8.308379173278809 2.6733150482177734 9.54741096496582 5.177063941955566 2.4107465744018555 14.2005033493042 0.3321501910686493 1.9565308094024658 0.23250512778759003 1.369571566581726 -1.006416916847229 0.7972232699394226
ssttau_041430.5 -0.013228265568614006 604.0 130.5 3.4779164791107178 1.5883277654647827 6.966902732849121 2.438445568084717 14.791050910949707 12.986677169799805 2.037895917892456 1.7892910242080688 1.4265270233154297 1.252503752708435 -0.5508960485458374 0.6999517679214478
ssttau_043232.0 -0.32975414395332336 299.0 131.0 1.1506277322769165 0.4231092631816864 2.6471433639526367 1.2676582336425781 17.875059127807617 13.611262321472168 2.4628071784973145 1.8753457069396973 1.723965048789978 1.312741994857788 -0.9493810534477234 0.7550823092460632
ssttau_042111.4 -0.4584207534790039 332.0 130.5 2.143428087234497 0.5432604551315308 2.8952417373657227 0.9862934947013855 6.012052536010742 9.686269760131836 0.8283344507217407 1.3345643281936646 0.5798341035842896 0.9341950416564941 -1.5136295557022095 0.5373169779777527
ssttau_043935.1 0.3404441177845001 182.0 131.0 1.4523314237594604 0.2924017310142517 14.186360359191895 2.40212345123291 50.086891174316406 6.220559120178223 6.900920391082764 0.8570622801780701 4.830644607543945 0.5999435782432556 1.6869053840637207 0.33555760979652405
